pattern	base_rc	base_lines	head_rc	head_lines
MRT_TESTABLE_INTERNALS	0	129	0	6
MRT_GC_UNIT_TESTS	0	36	0	14
atexit\(	0	2	1	0
WeakDiscoveryTestReceipt	1	0	1	0
Y2yHandoff	0	7	1	0
ExportRootPublication	0	8	1	0
RemsetFilterTestReceipt	1	0	1	0
RemapYoungRootsTestReceipt	0	10	1	0
ExportOwnershipTestObservation	0	4	1	0
StorageObserver	0	4	1	0
WaitEnterHook	0	5	1	0
GhostLookupTestHook	0	10	1	0
MRT_ALLOCATION_STALL_OBSERVE	0	19	1	0
MarkingStacks::VerifyEmpty	0	9	1	0
SetBeforeWeakCleanCasForTest	0	2	1	0
FlipTouchCounts	1	0	1	0
SkippedStackMapCounts	0	11	1	0
g_forwardRace	0	4	0	2
g_installDomain	0	18	0	4
colourwho	0	1	1	0
