arm	test	classification	new_name
default	FindToPublicState.QueryableMissIsObservable	authorized-delete	
default	ForwardingLookupWitness.ActiveHitIdentifiesPublisher	authorized-delete	
default	ForwardingLookupWitness.ActiveMissKeepsCandidateIdentity	authorized-delete	
default	ForwardingNoGeometry.ForwardImplTryLockCopiesWithoutPrebuiltMapping	authorized-delete	
default	ForwardingPublicationProduct.BarrierResolvesForwardedFromThroughCollector	authorized-delete	
default	ForwardingPublicationProduct.CompactRegionDeadFromHasNoForwardingAndIsNotTlab	authorized-delete	
default	ForwardingPublicationProduct.CompactRequestReturnsReceiptBeforeFromClear	authorized-delete	
default	ForwardingPublicationProduct.CompactedWithoutFwdDoneWaitsInProductSO	authorized-delete	
default	ForwardingPublicationProduct.CompletedForwardingMissRejectsOriginalAddress	authorized-delete	
default	ForwardingPublicationProduct.ExclusiveCopyPublishesProductReceipt	authorized-delete	
default	ForwardingPublicationProduct.ForwardUpdateRawRefFailClosedWhenUnresolved	authorized-delete	
default	ForwardingPublicationProduct.ForwardUpdateRawRefWritesBackMappedTo	authorized-delete	
default	ForwardingPublicationProduct.ForwardingIdentityWinnerSurvivesDoneAndRelease	authorized-delete	
default	ForwardingPublicationProduct.ForwardingMovedWinnerSurvivesDoneAndRelease	authorized-delete	
default	ForwardingPublicationProduct.MutatorRuntimeEntryReachesCopyAdmission	authorized-delete	
default	ForwardingPublicationProduct.PartialCompactFirstDestinationKeepsReceipt	authorized-delete	
default	ForwardingPublicationProduct.PartialCompactSelfFallbackKeepsReceipt	authorized-delete	
default	ForwardingPublicationProduct.PreForwardDerivedOrdinaryMovingBaseProducer	authorized-delete	
default	ForwardingPublicationProduct.PreForwardDerivedRebasesFromRemappedBaseWithoutLookup	authorized-delete	
default	ForwardingPublicationProduct.PreForwardDerivedTaggedMovingBaseProducer	authorized-delete	
default	ForwardingPublicationProduct.PreForwardDerivedTaggedUnresolvedGhostFailsClosed	authorized-delete	
default	ForwardingPublicationProduct.ResolveStoreValueAlreadyToStartRejectsNonUsable	authorized-delete	
default	ForwardingPublicationProduct.ResolveStoreValueAlreadyToStartWithUsableTarget	authorized-delete	
default	ForwardingPublicationProduct.ResolveStoreValueFollowsForwardedDestination	authorized-delete	
default	ForwardingPublicationProduct.ResolveStoreValueSafeAddrAfterForwardingTableGone	authorized-delete	
default	LoadHealDeliveryProduct.CurrentRemsetRemapsLiveRemoteArrayField	authorized-delete	
default	LoadHealDeliveryProduct.DualCarrierConsumerSurvivesCurrentPageResetUntilRetire	authorized-delete	
default	LoadHealDeliveryProduct.DualCarrierProducerCapturesOldTopAndLivemap	authorized-delete	
default	LoadHealDeliveryProduct.FlipPromotedPageRemembersOnlyLiveHolder	authorized-delete	
